year,month,day,fog,rain,snow,precipi,snowfalli,meantempi
2014,03,05,0,0,0,0.00,0.00,33
2014,03,06,0,0,0,0.00,0.00,24
2014,03,07,0,0,0,0.00,0.00,32
2014,03,08,0,0,0,0.00,0.00,46
2014,03,09,0,0,0,0.00,0.00,40
2014,03,10,0,0,1,T,T,44
2014,03,11,0,0,0,0.00,0.00,56
2014,03,12,0,1,0,0.35,0.00,44
2014,03,13,0,0,0,0.00,0.00,26
2014,03,14,0,0,0,0.00,0.00,34
2014,03,15,0,0,0,0.00,0.00,50
2014,03,16,0,0,0,0.00,0.00,36
2014,03,17,0,0,0,0.00,0.00,29
2014,03,18,0,0,0,0.00,0.00,36
2014,03,19,0,1,0,0.92,0.00,39
2014,03,20,0,1,0,0.00,0.00,47
2014,03,21,0,0,0,0.00,0.00,45
2014,03,22,0,0,0,0.00,0.00,52
2014,03,23,0,0,0,0.00,0.00,35
2014,03,24,0,0,0,0.00,0.00,28
2014,03,25,0,0,0,T,T,33
2014,03,26,0,0,0,0.00,0.00,30
2014,03,27,0,0,0,0.00,0.00,33
2014,03,28,0,1,0,0.04,0.00,50
2014,03,29,0,1,0,1.81,0.00,51
2014,03,30,0,1,0,0.35,0.00,44
2014,03,31,0,1,1,0.16,T,46
2014,04,01,0,0,0,0.00,0.00,50
2014,04,02,0,0,0,0.00,0.00,48
2014,04,03,0,1,0,0.07,0.00,57
2014,04,04,0,1,0,0.21,0.00,44
2014,04,05,0,1,0,0.00,0.00,47
2014,04,06,0,0,0,0.00,0.00,49
2014,04,07,0,1,0,0.52,0.00,48
2014,04,08,1,1,0,0.34,0.00,55
2014,04,09,0,0,0,0.00,0.00,53
2014,04,10,0,0,0,0.00,0.00,50
2014,04,11,0,0,0,0.00,0.00,66
2014,04,12,0,0,0,0.00,0.00,62
2014,04,13,0,0,0,0.00,0.00,66
2014,04,14,0,0,0,0.00,0.00,67
2014,04,15,0,1,1,0.71,T,48
2014,04,16,0,1,1,0.05,T,40
2014,04,17,0,0,0,0.00,0.00,42
2014,04,18,0,0,0,0.00,0.00,42
2014,04,19,0,0,0,0.00,0.00,55
2014,04,20,0,0,0,0.00,0.00,53
2014,04,21,0,0,0,0.00,0.00,54
2014,04,22,0,1,0,0.01,0.00,61
2014,04,23,0,0,0,0.00,0.00,53
2014,04,24,0,0,0,0.00,0.00,52
2014,04,25,0,1,0,0.02,0.00,54
2014,04,26,0,1,0,0.92,0.00,57
2014,04,27,0,0,0,0.00,0.00,53
2014,04,28,0,0,0,0.00,0.00,56
2014,04,29,0,1,0,0.03,0.00,48
2014,04,30,0,1,0,4.97,0.00,47
2014,05,01,1,1,0,0.12,0.00,65
2014,05,02,0,0,0,T,0.00,63
2014,05,03,0,1,0,0.08,0.00,63
2014,05,04,0,0,0,0.02,0.00,60
2014,05,05,0,0,0,0.00,0.00,60
2014,05,06,0,0,0,0.00,0.00,62
2014,05,07,0,0,0,0.00,0.00,60
2014,05,08,0,1,0,0.41,0.00,56
2014,05,09,0,1,0,0.04,0.00,59
2014,05,10,1,1,0,0.37,0.00,70
2014,05,11,0,1,0,0.03,0.00,71
2014,05,12,0,0,0,0.00,0.00,75
2014,05,13,0,0,0,0.00,0.00,63
2014,05,14,0,0,0,0.01,0.00,62
2014,05,15,0,1,0,0.15,0.00,65
2014,05,16,0,1,0,1.54,0.00,63
2014,05,17,0,0,0,0.00,0.00,62
2014,05,18,0,0,0,0.00,0.00,59
2014,05,19,0,0,0,0.00,0.00,61
2014,05,20,0,0,0,0.00,0.00,66
2014,05,21,0,0,0,0.00,0.00,69
2014,05,22,0,1,0,0.24,0.00,63
2014,05,23,1,1,0,0.91,0.00,64
2014,05,24,0,1,0,0.40,0.00,64
2014,05,25,0,0,0,0.00,0.00,68
2014,05,26,0,0,0,0.00,0.00,76
2014,05,27,0,0,0,T,0.00,75
2014,05,28,0,0,0,0.00,0.00,59
2014,05,29,0,0,0,0.00,0.00,59
2014,05,30,0,0,0,T,0.00,65
2014,05,31,0,1,0,0.05,0.00,65
2014,06,01,0,0,0,0.00,0.00,66
2014,06,02,0,0,0,0.00,0.00,70
2014,06,03,0,1,0,0.12,0.00,76
2014,06,04,0,0,0,0.00,0.00,73
2014,06,05,0,1,0,0.87,0.00,69
2014,06,06,0,0,0,0.00,0.00,69
2014,06,07,0,0,0,0.00,0.00,71
2014,06,08,0,0,0,0.00,0.00,76
2014,06,09,1,1,0,1.60,0.00,68
2014,06,10,0,0,0,0.00,0.00,71
2014,06,11,0,1,0,0.02,0.00,66
2014,06,12,0,1,0,0.07,0.00,67
2014,06,13,1,1,0,1.28,0.00,72
2014,06,14,0,0,0,0.00,0.00,67
2014,06,15,0,0,0,0.00,0.00,70
2014,06,16,0,0,0,0.00,0.00,72
2014,06,17,0,0,0,0.00,0.00,80
2014,06,18,0,0,0,0.00,0.00,83
2014,06,19,0,1,0,0.15,0.00,73
2014,06,20,0,0,0,0.00,0.00,72
2014,06,21,0,0,0,0.00,0.00,70
2014,06,22,0,0,0,0.00,0.00,72
2014,06,23,0,0,0,0.00,0.00,73
2014,06,24,0,0,0,0.00,0.00,75
2014,06,25,0,1,0,0.08,0.00,78
2014,06,26,0,1,0,0.07,0.00,78
2014,06,27,0,0,0,0.00,0.00,75
2014,06,28,0,0,0,0.00,0.00,77
2014,06,29,0,0,0,0.00,0.00,76
2014,06,30,0,0,0,0.00,0.00,77
2014,07,01,0,0,0,0.00,0.00,81
2014,07,02,1,1,0,0.96,0.00,82
2014,07,03,1,1,0,1.78,0.00,78
2014,07,04,0,1,0,0.14,0.00,70
2014,07,05,0,0,0,0.00,0.00,72
2014,07,06,0,0,0,0.00,0.00,75
2014,07,07,0,0,0,0.04,0.00,81
2014,07,08,0,1,0,0.39,0.00,81
2014,07,09,0,1,0,0.09,0.00,80
2014,07,10,0,0,0,0.00,0.00,78
2014,07,11,0,0,0,0.00,0.00,79
2014,07,12,0,0,0,0.00,0.00,78
2014,07,13,0,1,0,0.03,0.00,78
2014,07,14,0,1,0,0.46,0.00,78
2014,07,15,1,1,0,1.30,0.00,79
2014,07,16,0,0,0,T,0.00,75
2014,07,17,0,0,0,0.00,0.00,74
2014,07,18,0,0,0,0.00,0.00,73
2014,07,19,0,0,0,0.00,0.00,72
2014,07,20,0,0,0,T,0.00,72
2014,07,21,0,0,0,0.00,0.00,76
2014,07,22,0,0,0,0.00,0.00,79
2014,07,23,0,1,0,0.19,0.00,80
2014,07,24,0,0,0,0.00,0.00,75
2014,07,25,0,0,0,0.00,0.00,74
2014,07,26,0,0,0,0.00,0.00,75
2014,07,27,0,1,0,0.02,0.00,78
2014,07,28,0,1,0,0.19,0.00,75
2014,07,29,0,0,0,0.00,0.00,70
2014,07,30,0,0,0,0.00,0.00,72
2014,07,31,0,0,0,0.00,0.00,75
2014,08,01,0,0,0,0.00,0.00,78
2014,08,02,0,1,0,0.41,0.00,69
2014,08,03,0,1,0,0.07,0.00,71
2014,08,04,0,0,0,0.00,0.00,77
2014,08,05,0,0,0,0.00,0.00,81
2014,08,06,0,0,0,0.00,0.00,77
2014,08,07,0,0,0,0.00,0.00,75
2014,08,08,0,0,0,0.00,0.00,74
2014,08,09,0,0,0,0.00,0.00,77
2014,08,10,0,0,0,0.00,0.00,78
2014,08,11,0,0,0,0.00,0.00,79
2014,08,12,0,1,0,0.19,0.00,75
2014,08,13,0,1,0,0.53,0.00,75
2014,08,14,0,0,0,0.00,0.00,70
2014,08,15,0,0,0,0.00,0.00,67
2014,08,16,0,0,0,0.00,0.00,71
2014,08,17,0,0,0,0.01,0.00,74
2014,08,18,0,0,0,0.00,0.00,72
2014,08,19,0,0,0,0.00,0.00,73
2014,08,20,0,0,0,0.00,0.00,77
2014,08,21,0,1,0,0.35,0.00,74
2014,08,22,0,1,0,0.06,0.00,72
2014,08,23,0,0,0,0.01,0.00,72
2014,08,24,0,0,0,0.00,0.00,72
2014,08,25,0,0,0,0.00,0.00,76
2014,08,26,0,0,0,0.00,0.00,80
2014,08,27,0,0,0,0.00,0.00,80
2014,08,28,0,0,0,0.00,0.00,74
2014,08,29,0,0,0,0.00,0.00,71
2014,08,30,0,0,0,0.00,0.00,73
2014,08,31,1,1,0,0.62,0.00,82
2014,09,01,0,0,0,0.00,0.00,82
